Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,662.34,299.0,Unknown,,,UNREGISTERED
1,663.0,223.0,Unknown,,,UNREGISTERED
1,663.98,265.0,Unknown,,,UNREGISTERED
1,665.29,310.0,Unknown,,,UNREGISTERED
1,665.94,192.0,Unknown,,,UNREGISTERED
1,666.92,244.0,Unknown,,,UNREGISTERED
1,668.23,209.0,Unknown,,,UNREGISTERED
1,669.21,189.0,Unknown,,,UNREGISTERED
1,669.86,228.0,Unknown,,,UNREGISTERED
1,670.51,187.0,Unknown,,,UNREGISTERED
1,671.82,176.0,Unknown,,,UNREGISTERED
1,672.47,210.0,Unknown,,,UNREGISTERED
1,673.12,188.0,Unknown,,,UNREGISTERED
1,674.1,237.0,Unknown,,,UNREGISTERED
1,674.75,210.0,Unknown,,,UNREGISTERED
1,677.03,207.0,Unknown,,,UNREGISTERED
1,678.98,217.0,Unknown,,,UNREGISTERED
1,680.28,170.0,Unknown,,,UNREGISTERED
1,680.93,192.0,Unknown,,,UNREGISTERED
1,681.58,219.0,Unknown,,,UNREGISTERED
1,684.5,160.0,Unknown,,,UNREGISTERED
1,685.15,215.0,Unknown,,,UNREGISTERED
1,686.77,163.0,Unknown,,,UNREGISTERED
1,687.74,178.0,Unknown,,,UNREGISTERED
1,690.01,201.0,Unknown,,,UNREGISTERED
1,691.95,297.0,Unknown,,,UNREGISTERED
1,693.88,159.0,Unknown,,,UNREGISTERED
1,699.69,170.0,Unknown,,,UNREGISTERED
1,701.94,164.0,Unknown,,,UNREGISTERED
1,704.19,266.0,Unknown,,,UNREGISTERED
1,704.83,211.0,Unknown,,,UNREGISTERED
1,706.12,259.0,Unknown,,,UNREGISTERED
1,707.4,200.0,Unknown,,,UNREGISTERED
1,709.0,229.0,Unknown,,,UNREGISTERED
1,711.56,168.0,Unknown,,,UNREGISTERED
1,713.16,159.0,Unknown,,,UNREGISTERED
1,714.12,167.0,Unknown,,,UNREGISTERED
1,714.76,243.0,Unknown,,,UNREGISTERED
1,716.04,254.0,Unknown,,,UNREGISTERED
1,716.68,156.0,Unknown,,,UNREGISTERED
1,717.96,181.0,Unknown,,,UNREGISTERED
1,718.91,246.0,Unknown,,,UNREGISTERED
1,720.19,221.0,Unknown,,,UNREGISTERED
1,721.78,187.0,Unknown,,,UNREGISTERED
1,722.74,170.0,Unknown,,,UNREGISTERED
1,723.69,173.0,Unknown,,,UNREGISTERED
1,724.65,172.0,Unknown,,,UNREGISTERED
1,725.92,190.0,Unknown,,,UNREGISTERED
1,728.14,160.0,Unknown,,,UNREGISTERED
1,733.53,197.0,Unknown,,,UNREGISTERED
1,741.43,165.0,Unknown,,,UNREGISTERED
1,742.38,178.0,Unknown,,,UNREGISTERED
1,746.16,153.0,Unknown,,,UNREGISTERED
1,748.04,188.0,Unknown,,,UNREGISTERED
1,749.61,171.0,Unknown,,,UNREGISTERED
1,753.38,195.0,Unknown,,,UNREGISTERED
1,754.94,178.0,Unknown,,,UNREGISTERED
1,758.39,155.0,Unknown,,,UNREGISTERED
1,759.64,150.0,Unknown,,,UNREGISTERED
1,762.45,252.0,Unknown,,,UNREGISTERED
1,763.38,156.0,Unknown,,,UNREGISTERED
1,764.0,200.0,Unknown,,,UNREGISTERED
1,766.5,166.0,Unknown,,,UNREGISTERED
